year,month,product,location,type,price_then,price_now
2026,April,Antitheft,Sinza,Singles,2700.0,2300.0
2026,April,Arm band,Sinza,Singles,1300.0,900.0
2026,April,Big Man Bag,Sinza,Special Offers,2200.0,1800.0
2026,April,Cess HB,Sinza,Special Offers,3600.0,3200.0
2026,April,Claire Handbag,Sinza,Special Offers,3100.0,2700.0
2026,April,Double Press,Sinza,Singles,2700.0,2300.0
2026,April,Elyse,Sinza,Singles,3200.0,2800.0
2026,April,Kate,Sinza,Singles,1700.0,1300.0
2026,April,Lola,Sinza,Singles,2200.0,1800.0
2026,April,Mandy HB,Sinza,Singles,1600.0,1200.0
2026,April,Mega,Sinza,Special Offers,3500.0,3100.0
2026,April,Mini Manbag,Sinza,Singles,1700.0,1300.0
2026,April,Mini Umbra,Sinza,Special Offers,1700.0,1300.0
2026,April,Moon Bag,Sinza,Special Offers,1700.0,1300.0
2026,April,Standard Travel,Sinza,Special Offers,2700.0,2300.0
2026,April,Travolta,Sinza,Singles,3700.0,3300.0
2026,April,Trecento,Sinza,Special Offers,2200.0,1800.0
2026,April,Wander Luxe,Sinza,Special Offers,3200.0,2800.0
2026,April,Washbag,Sinza,Singles,1700.0,1300.0
2026,April,Zelus,Sinza,Special Offers,2700.0,2300.0
2026,August,Amaya,Busia,Deal of the Week,3500.0,3100.0
2026,August,Mega,Busia,Deal of the Week,3000.0,2600.0
2026,August,Remi,Busia,Deal of the Week,2700.0,2300.0
2026,August,Sierra Handbag,Busia,Deal of the Week,2700.0,2300.0
2026,August,Trecento,Busia,Deal of the Week,2100.0,1700.0
2026,August,Aurora,Eldoret,Deal of the Week,2100.0,1700.0
2026,August,Belt Bag,Eldoret,Deal of the Week,1400.0,1000.0
2026,August,Cairo Bp,Eldoret,Deal of the Week,2100.0,1700.0
2026,August,Nizana,Eldoret,Deal of the Week,1600.0,1200.0
2026,August,Remi,Eldoret,Deal of the Week,2700.0,2300.0
2026,August,Bonita,Kakamega,Deal of the Week,3900.0,3500.0
2026,August,Cess HB,Kakamega,Deal of the Week,3500.0,3100.0
2026,August,Jamela,Kakamega,Deal of the Week,3600.0,3200.0
2026,August,Kate,Kakamega,Deal of the Week,1600.0,1200.0
2026,August,Neo Man,Kakamega,Deal of the Week,1600.0,1200.0
2026,August,Brief Case,Kisii,Deal of the Week,2800.0,2400.0
2026,August,Lola,Kisii,Deal of the Week,2100.0,1800.0
2026,August,Mega,Kisii,Deal of the Week,3000.0,2600.0
2026,August,Moon Bag,Kisii,Deal of the Week,1600.0,1200.0
2026,August,Zane Man,Kisii,Deal of the Week,1600.0,1200.0
2026,August,Aurora,Kisumu,Deal of the Week,2100.0,1700.0
2026,August,Brief Case,Kisumu,Deal of the Week,2800.0,2400.0
2026,August,Lola,Kisumu,Deal of the Week,2100.0,1800.0
2026,August,Mini Umbra,Kisumu,Deal of the Week,1600.0,1200.0
2026,August,Trecento,Kisumu,Deal of the Week,2100.0,1700.0
2026,August,Belt Bag,Kitengela,Deal of the Week,1400.0,1000.0
2026,August,Nizana,Kitengela,Deal of the Week,1600.0,1200.0
2026,August,Oval Handbag,Kitengela,Deal of the Week,1600.0,1200.0
2026,August,Skye HB,Kitengela,Deal of the Week,2000.0,1600.0
2026,August,Zoezi,Kitengela,Deal of the Week,3600.0,3200.0
2026,August,Aria Sling,Meru,Deal of the Week,1600.0,1200.0
2026,August,Jamela,Meru,Deal of the Week,3600.0,3200.0
2026,August,Kate,Meru,Deal of the Week,1600.0,1200.0
2026,August,Nizana,Meru,Deal of the Week,1600.0,1200.0
2026,August,Zipped Lunchset,Meru,Deal of the Week,1600.0,1200.0
2026,August,Kate,Mombasa,Deal of the Week,1600.0,1200.0
2026,August,Liam,Mombasa,Deal of the Week,2100.0,1700.0
2026,August,Luna,Mombasa,Deal of the Week,1600.0,1200.0
2026,August,Remi,Mombasa,Deal of the Week,2700.0,2300.0
2026,August,Trecento,Mombasa,Deal of the Week,2100.0,1700.0
2026,August,Aurora,Nairobi Town,Deal of the Week,2100.0,1700.0
2026,August,Brief Case,Nairobi Town,Deal of the Week,2800.0,2400.0
2026,August,Jamela,Nairobi Town,Deal of the Week,3600.0,3200.0
2026,August,Kai,Nairobi Town,Deal of the Week,2800.0,2400.0
