Pricelist,Product,Starts,Ends,Rule Price,Currency,Active,Tills,First Seen
JUMIA Pricelist,Alpha Travel Brown,2026-05-05,2026-05-05,3419.83,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Code 3 Black,2026-05-05,2026-05-05,1943.97,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Code 3 Grey,2026-05-05,2026-05-05,1840.52,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Fayola Black,2026-05-05,2026-05-05,1912.07,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Fayola Grey,2026-05-05,2026-05-05,1840.52,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Fayola Nude,2026-05-05,2026-05-05,1840.52,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Jumbo Green,2026-05-05,2026-05-05,3375.0,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Jumbo Grey,2026-05-05,2026-05-05,3375.0,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Kaz Brown,2026-05-05,2026-05-05,1801.72,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Man Bag Brown,2026-05-05,2026-05-05,1400.86,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Mini Umbra Black,2026-05-05,2026-05-05,1480.17,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Zeno Black/Chocolate,2026-05-05,2026-05-05,1447.41,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Zeno Black/Cracked,2026-05-05,2026-05-05,1447.41,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Zeno Black/Grey,2026-05-05,2026-05-05,1447.41,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Zeno Black/Red,2026-05-05,2026-05-05,1447.41,KES,True,JUMIA,2026-09-14T08:50:26
JUMIA Pricelist,Zeno Cracked/Black,2026-05-05,2026-05-05,1447.41,KES,True,JUMIA,2026-09-14T08:50:26
KTDA Pricelist,Aurora Beige,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Black,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Chocolate,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Cracked,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Dark Brown,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Grey,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Maroon,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Red,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Red.Pattern,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Spice,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Aurora Wooven Maroon,2026-05-05,2026-05-09,1465.52,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Beige,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Black,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Choco,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Cracked,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Dark Brown,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Green,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Grey,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Red,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Cess HB Spice,2026-05-05,2026-05-09,2672.41,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Fabela Black,2026-05-05,2026-05-09,1724.14,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Fabela Brown,2026-05-05,2026-05-09,1724.14,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Fabela Green,2026-05-05,2026-05-09,1724.14,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Fabela Grey,2026-05-05,2026-05-09,1724.14,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Fabela Nude,2026-05-05,2026-05-09,1724.14,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Jumbo Grey,2026-05-05,2026-05-09,3103.45,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Beige,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Black,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Chocolate Brown,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Cracked,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Dark Brown,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Grey,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Maroon,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Red,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Moon Bag Spice,2026-05-05,2026-05-09,1034.48,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Pioneer Black,2026-05-05,2026-05-09,1896.55,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Pioneer Brown,2026-05-05,2026-05-09,1896.55,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Pioneer Green,2026-05-05,2026-05-09,1896.55,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Pioneer Grey,2026-05-05,2026-05-09,1896.55,KES,False,,2026-09-14T08:50:26
KTDA Pricelist,Pioneer Nude,2026-05-05,2026-05-09,1896.55,KES,False,,2026-09-14T08:50:26
Busia pricelist,Aria Pro Beige,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Black,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Chocolate,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Cracked,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Dark Brown,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Grey,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Maroon,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Red,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Spice,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Aria Pro Yellow,2026-09-12,2026-09-26,1034.48,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Antelope Brown,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Black,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Brown,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Green,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Grey,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Jumbo Nude,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Beige,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Black,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Choco,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Cracked,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Dark Brown,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Grey,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Maroon,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Red,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Lola Spice,2026-09-12,2026-09-26,1551.72,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Beige,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Black,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Chocolate,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Cracked,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Dark Brown,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Grey,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Maroon,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Red,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Mini Zuri Spice,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer Black,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer Brown,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer CN Brown,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer Green,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer Grey,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Pioneer Nude,2026-09-12,2026-09-26,1896.55,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Beige,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Black,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Chocolate,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Cracked,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Dark Brown,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Grey,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Red,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Trecento Spice,2026-09-12,2026-09-26,1465.52,KES,True,BUSIA,2026-09-14T08:50:26
Busia pricelist,Zuri Beige,2026-09-12,2026-09-26,2758.62,KES,True,BUSIA,2026-09-14T08:50:26
